nazwa miasta;nazwa województwa
Boles³awiec;DOLNOŒL¥SKIE
Nowogrodziec;DOLNOŒL¥SKIE
Bielawa;DOLNOŒL¥SKIE
Dzier¿oniów;DOLNOŒL¥SKIE
Pieszyce;DOLNOŒL¥SKIE
Pi³awa Górna;DOLNOŒL¥SKIE
Niemcza;DOLNOŒL¥SKIE
G³ogów;DOLNOŒL¥SKIE
Góra;DOLNOŒL¥SKIE
W¹sosz;DOLNOŒL¥SKIE
Jawor;DOLNOŒL¥SKIE
Bolków;DOLNOŒL¥SKIE
Karpacz;DOLNOŒL¥SKIE
Kowary;DOLNOŒL¥SKIE
Piechowice;DOLNOŒL¥SKIE
Szklarska Porêba;DOLNOŒL¥SKIE
Kamienna Góra;DOLNOŒL¥SKIE
Lubawka;DOLNOŒL¥SKIE
Duszniki-Zdrój;DOLNOŒL¥SKIE
K³odzko;DOLNOŒL¥SKIE
Kudowa-Zdrój;DOLNOŒL¥SKIE
Nowa Ruda;DOLNOŒL¥SKIE
Polanica-Zdrój;DOLNOŒL¥SKIE
Bystrzyca K³odzka;DOLNOŒL¥SKIE
L¹dek-Zdrój;DOLNOŒL¥SKIE
Miêdzylesie;DOLNOŒL¥SKIE
Radków;DOLNOŒL¥SKIE
Stronie Œl¹skie;DOLNOŒL¥SKIE
Szczytna;DOLNOŒL¥SKIE
Chojnów;DOLNOŒL¥SKIE
Prochowice;DOLNOŒL¥SKIE
Lubañ;DOLNOŒL¥SKIE
Œwieradów-Zdrój;DOLNOŒL¥SKIE
Leœna;DOLNOŒL¥SKIE
Olszyna;DOLNOŒL¥SKIE
Lubin;DOLNOŒL¥SKIE
Œcinawa;DOLNOŒL¥SKIE
Gryfów Œl¹ski;DOLNOŒL¥SKIE
Lubomierz;DOLNOŒL¥SKIE
Lwówek Œl¹ski;DOLNOŒL¥SKIE
Mirsk;DOLNOŒL¥SKIE
Wleñ;DOLNOŒL¥SKIE
Milicz;DOLNOŒL¥SKIE
Oleœnica;DOLNOŒL¥SKIE
Bierutów;DOLNOŒL¥SKIE
Miêdzybórz;DOLNOŒL¥SKIE
Syców;DOLNOŒL¥SKIE
Twardogóra;DOLNOŒL¥SKIE
O³awa;DOLNOŒL¥SKIE
Jelcz-Laskowice;DOLNOŒL¥SKIE
Chocianów;DOLNOŒL¥SKIE
Polkowice;DOLNOŒL¥SKIE
Przemków;DOLNOŒL¥SKIE
Strzelin;DOLNOŒL¥SKIE
Wi¹zów;DOLNOŒL¥SKIE
Œroda Œl¹ska;DOLNOŒL¥SKIE
Œwidnica;DOLNOŒL¥SKIE
Œwiebodzice;DOLNOŒL¥SKIE
Jaworzyna Œl¹ska;DOLNOŒL¥SKIE
Strzegom;DOLNOŒL¥SKIE
¯arów;DOLNOŒL¥SKIE
Oborniki Œl¹skie;DOLNOŒL¥SKIE
Prusice;DOLNOŒL¥SKIE
Trzebnica;DOLNOŒL¥SKIE
¯migród;DOLNOŒL¥SKIE
Boguszów-Gorce;DOLNOŒL¥SKIE
Jedlina-Zdrój;DOLNOŒL¥SKIE
Szczawno-Zdrój;DOLNOŒL¥SKIE
G³uszyca;DOLNOŒL¥SKIE
Mieroszów;DOLNOŒL¥SKIE
Brzeg Dolny;DOLNOŒL¥SKIE
Wo³ów;DOLNOŒL¥SKIE
K¹ty Wroc³awskie;DOLNOŒL¥SKIE
Sobótka;DOLNOŒL¥SKIE
Siechnice;DOLNOŒL¥SKIE
Bardo;DOLNOŒL¥SKIE
Z¹bkowice Œl¹skie;DOLNOŒL¥SKIE
Ziêbice;DOLNOŒL¥SKIE
Z³oty Stok;DOLNOŒL¥SKIE
Zawidów;DOLNOŒL¥SKIE
Zgorzelec;DOLNOŒL¥SKIE
Bogatynia;DOLNOŒL¥SKIE
Pieñsk;DOLNOŒL¥SKIE
Wêgliniec;DOLNOŒL¥SKIE
Wojcieszów;DOLNOŒL¥SKIE
Z³otoryja;DOLNOŒL¥SKIE
Œwierzawa;DOLNOŒL¥SKIE
Jelenia Góra;DOLNOŒL¥SKIE
Legnica;DOLNOŒL¥SKIE
Wroc³aw;DOLNOŒL¥SKIE
Wa³brzych;DOLNOŒL¥SKIE
Aleksandrów Kujawski;KUJAWSKO-POMORSKIE
Ciechocinek;KUJAWSKO-POMORSKIE
Nieszawa;KUJAWSKO-POMORSKIE
Brodnica;KUJAWSKO-POMORSKIE
Górzno;KUJAWSKO-POMORSKIE
Jab³onowo Pomorskie;KUJAWSKO-POMORSKIE
Koronowo;KUJAWSKO-POMORSKIE
Solec Kujawski;KUJAWSKO-POMORSKIE
Che³mno;KUJAWSKO-POMORSKIE
Golub-Dobrzyñ;KUJAWSKO-POMORSKIE
Kowalewo Pomorskie;KUJAWSKO-POMORSKIE
£asin;KUJAWSKO-POMORSKIE
Radzyñ Che³miñski;KUJAWSKO-POMORSKIE
Inowroc³aw;KUJAWSKO-POMORSKIE
Gniewkowo;KUJAWSKO-POMORSKIE
Janikowo;KUJAWSKO-POMORSKIE
Kruszwica;KUJAWSKO-POMORSKIE
Pakoœæ;KUJAWSKO-POMORSKIE
Lipno;KUJAWSKO-POMORSKIE
Dobrzyñ nad Wis³¹;KUJAWSKO-POMORSKIE
Skêpe;KUJAWSKO-POMORSKIE
Mogilno;KUJAWSKO-POMORSKIE
Strzelno;KUJAWSKO-POMORSKIE
Kcynia;KUJAWSKO-POMORSKIE
Mrocza;KUJAWSKO-POMORSKIE
Nak³o nad Noteci¹;KUJAWSKO-POMORSKIE
Szubin;KUJAWSKO-POMORSKIE
Radziejów;KUJAWSKO-POMORSKIE
Piotrków Kujawski;KUJAWSKO-POMORSKIE
Rypin;KUJAWSKO-POMORSKIE
Kamieñ Krajeñski;KUJAWSKO-POMORSKIE
Sêpólno Krajeñskie;KUJAWSKO-POMORSKIE
Wiêcbork;KUJAWSKO-POMORSKIE
Nowe;KUJAWSKO-POMORSKIE
Œwiecie;KUJAWSKO-POMORSKIE
Che³m¿a;KUJAWSKO-POMORSKIE
Tuchola;KUJAWSKO-POMORSKIE
W¹brzeŸno;KUJAWSKO-POMORSKIE
Kowal;KUJAWSKO-POMORSKIE
Brzeœæ Kujawski;KUJAWSKO-POMORSKIE
Chodecz;KUJAWSKO-POMORSKIE
Izbica Kujawska;KUJAWSKO-POMORSKIE
Lubieñ Kujawski;KUJAWSKO-POMORSKIE
Lubraniec;KUJAWSKO-POMORSKIE
Barcin;KUJAWSKO-POMORSKIE
Janowiec Wielkopolski;KUJAWSKO-POMORSKIE
£abiszyn;KUJAWSKO-POMORSKIE
¯nin;KUJAWSKO-POMORSKIE
Bydgoszcz;KUJAWSKO-POMORSKIE
Grudzi¹dz;KUJAWSKO-POMORSKIE
Toruñ;KUJAWSKO-POMORSKIE
W³oc³awek;KUJAWSKO-POMORSKIE
Miêdzyrzec Podlaski;LUBELSKIE
Terespol;LUBELSKIE
Bi³goraj;LUBELSKIE
Frampol;LUBELSKIE
Józefów;LUBELSKIE
Tarnogród;LUBELSKIE
Rejowiec Fabryczny;LUBELSKIE
Siedliszcze;LUBELSKIE
Hrubieszów;LUBELSKIE
Janów Lubelski;LUBELSKIE
Modliborzyce;LUBELSKIE
Krasnystaw;LUBELSKIE
Kraœnik;LUBELSKIE
Annopol;LUBELSKIE
Urzêdów;LUBELSKIE
Lubartów;LUBELSKIE
Kock;LUBELSKIE
Ostrów Lubelski;LUBELSKIE
Be³¿yce;LUBELSKIE
Bychawa;LUBELSKIE
£êczna;LUBELSKIE
£uków;LUBELSKIE
Stoczek £ukowski;LUBELSKIE
Opole Lubelskie;LUBELSKIE
Poniatowa;LUBELSKIE
Parczew;LUBELSKIE
Pu³awy;LUBELSKIE
Kazimierz Dolny;LUBELSKIE
Na³êczów;LUBELSKIE
Radzyñ Podlaski;LUBELSKIE
Dêblin;LUBELSKIE
Ryki;LUBELSKIE
Œwidnik;LUBELSKIE
Piaski;LUBELSKIE
Tomaszów Lubelski;LUBELSKIE
Lubycza Królewska;LUBELSKIE
£aszczów;LUBELSKIE
Tyszowce;LUBELSKIE
W³odawa;LUBELSKIE
Krasnobród;LUBELSKIE
Szczebrzeszyn;LUBELSKIE
Zwierzyniec;LUBELSKIE
Bia³a Podlaska;LUBELSKIE
Che³m;LUBELSKIE
Lublin;LUBELSKIE
Zamoœæ;LUBELSKIE
Kostrzyn nad Odr¹;LUBUSKIE
Witnica;LUBUSKIE
Gubin;LUBUSKIE
Krosno Odrzañskie;LUBUSKIE
Miêdzyrzecz;LUBUSKIE
Skwierzyna;LUBUSKIE
Trzciel;LUBUSKIE
Nowa Sól;LUBUSKIE
Bytom Odrzañski;LUBUSKIE
Ko¿uchów;LUBUSKIE
Nowe Miasteczko;LUBUSKIE
Cybinka;LUBUSKIE
Oœno Lubuskie;LUBUSKIE
Rzepin;LUBUSKIE
S³ubice;LUBUSKIE
Dobiegniew;LUBUSKIE
Drezdenko;LUBUSKIE
Strzelce Krajeñskie;LUBUSKIE
Lubniewice;LUBUSKIE
Sulêcin;LUBUSKIE
Torzym;LUBUSKIE
Œwiebodzin;LUBUSKIE
Zb¹szynek;LUBUSKIE
Babimost;LUBUSKIE
Czerwieñsk;LUBUSKIE
Kargowa;LUBUSKIE
Nowogród Bobrzañski;LUBUSKIE
Sulechów;LUBUSKIE
Gozdnica;LUBUSKIE
¯agañ;LUBUSKIE
I³owa;LUBUSKIE
Ma³omice;LUBUSKIE
Szprotawa;LUBUSKIE
£êknica;LUBUSKIE
¯ary;LUBUSKIE
Jasieñ;LUBUSKIE
Lubsko;LUBUSKIE
S³awa;LUBUSKIE
Szlichtyngowa;LUBUSKIE
Wschowa;LUBUSKIE
Gorzów Wielkopolski;LUBUSKIE
Zielona Góra;LUBUSKIE
Be³chatów;£ÓDZKIE
Zelów;£ÓDZKIE
Kutno;£ÓDZKIE
Kroœniewice;£ÓDZKIE
¯ychlin;£ÓDZKIE
£ask;£ÓDZKIE
£êczyca;£ÓDZKIE
£owicz;£ÓDZKIE
Koluszki;£ÓDZKIE
Rzgów;£ÓDZKIE
Tuszyn;£ÓDZKIE
Drzewica;£ÓDZKIE
Opoczno;£ÓDZKIE
Konstantynów £ódzki;£ÓDZKIE
Pabianice;£ÓDZKIE
Dzia³oszyn;£ÓDZKIE
Pajêczno;£ÓDZKIE
Sulejów;£ÓDZKIE
Wolbórz;£ÓDZKIE
Poddêbice;£ÓDZKIE
Uniejów;£ÓDZKIE
Radomsko;£ÓDZKIE
Kamieñsk;£ÓDZKIE
Przedbórz;£ÓDZKIE
Rawa Mazowiecka;£ÓDZKIE
Bia³a Rawska;£ÓDZKIE
Sieradz;£ÓDZKIE
B³aszki;£ÓDZKIE
Warta;£ÓDZKIE
Z³oczew;£ÓDZKIE
Tomaszów Mazowiecki;£ÓDZKIE
Wieluñ;£ÓDZKIE
Wieruszów;£ÓDZKIE
Zduñska Wola;£ÓDZKIE
Szadek;£ÓDZKIE
G³owno;£ÓDZKIE
Ozorków;£ÓDZKIE
Zgierz;£ÓDZKIE
Aleksandrów £ódzki;£ÓDZKIE
Stryków;£ÓDZKIE
Brzeziny;£ÓDZKIE
£ódŸ;£ÓDZKIE
Piotrków Trybunalski;£ÓDZKIE
Skierniewice;£ÓDZKIE
Bochnia;MA£OPOLSKIE
Nowy Wiœnicz;MA£OPOLSKIE
Brzesko;MA£OPOLSKIE
Czchów;MA£OPOLSKIE
Alwernia;MA£OPOLSKIE
Chrzanów;MA£OPOLSKIE
Libi¹¿;MA£OPOLSKIE
Trzebinia;MA£OPOLSKIE
D¹browa Tarnowska;MA£OPOLSKIE
Szczucin;MA£OPOLSKIE
Gorlice;MA£OPOLSKIE
Biecz;MA£OPOLSKIE
Bobowa;MA£OPOLSKIE
Krzeszowice;MA£OPOLSKIE
Ska³a;MA£OPOLSKIE
Skawina;MA£OPOLSKIE
S³omniki;MA£OPOLSKIE
Œwi¹tniki Górne;MA£OPOLSKIE
Limanowa;MA£OPOLSKIE
Mszana Dolna;MA£OPOLSKIE
Miechów;MA£OPOLSKIE
Dobczyce;MA£OPOLSKIE
Myœlenice;MA£OPOLSKIE
Su³kowice;MA£OPOLSKIE
Grybów;MA£OPOLSKIE
Krynica-Zdrój;MA£OPOLSKIE
Muszyna;MA£OPOLSKIE
Piwniczna-Zdrój;MA£OPOLSKIE
Stary S¹cz;MA£OPOLSKIE
Nowy Targ;MA£OPOLSKIE
Szczawnica;MA£OPOLSKIE
Rabka-Zdrój;MA£OPOLSKIE
Bukowno;MA£OPOLSKIE
Olkusz;MA£OPOLSKIE
Wolbrom;MA£OPOLSKIE
Oœwiêcim;MA£OPOLSKIE
Brzeszcze;MA£OPOLSKIE
Che³mek;MA£OPOLSKIE
Kêty;MA£OPOLSKIE
Zator;MA£OPOLSKIE
Nowe Brzesko;MA£OPOLSKIE
Proszowice;MA£OPOLSKIE
Jordanów;MA£OPOLSKIE
Sucha Beskidzka;MA£OPOLSKIE
Maków Podhalañski;MA£OPOLSKIE
Ciê¿kowice;MA£OPOLSKIE
Rad³ów;MA£OPOLSKIE
Ryglice;MA£OPOLSKIE
Tuchów;MA£OPOLSKIE
Wojnicz;MA£OPOLSKIE
Zakliczyn;MA£OPOLSKIE
¯abno;MA£OPOLSKIE
Zakopane;MA£OPOLSKIE
Andrychów;MA£OPOLSKIE
Kalwaria Zebrzydowska;MA£OPOLSKIE
Wadowice;MA£OPOLSKIE
Niepo³omice;MA£OPOLSKIE
Wieliczka;MA£OPOLSKIE
Kraków;MA£OPOLSKIE
Nowy S¹cz;MA£OPOLSKIE
Tarnów;MA£OPOLSKIE
Bia³obrzegi;MAZOWIECKIE
Wyœmierzyce;MAZOWIECKIE
Ciechanów;MAZOWIECKIE
Glinojeck;MAZOWIECKIE
Garwolin;MAZOWIECKIE
£askarzew;MAZOWIECKIE
Pilawa;MAZOWIECKIE
¯elechów;MAZOWIECKIE
Gostynin;MAZOWIECKIE
Milanówek;MAZOWIECKIE
Podkowa Leœna;MAZOWIECKIE
Grodzisk Mazowiecki;MAZOWIECKIE
Grójec;MAZOWIECKIE
Mogielnica;MAZOWIECKIE
Nowe Miasto nad Pilic¹;MAZOWIECKIE
Warka;MAZOWIECKIE
Kozienice;MAZOWIECKIE
Legionowo;MAZOWIECKIE
Serock;MAZOWIECKIE
Lipsko;MAZOWIECKIE
£osice;MAZOWIECKIE
Maków Mazowiecki;MAZOWIECKIE
Ró¿an;MAZOWIECKIE
Miñsk Mazowiecki;MAZOWIECKIE
Halinów;MAZOWIECKIE
Ka³uszyn;MAZOWIECKIE
Mrozy;MAZOWIECKIE
Sulejówek;MAZOWIECKIE
M³awa;MAZOWIECKIE
Nowy Dwór Mazowiecki;MAZOWIECKIE
Nasielsk;MAZOWIECKIE
Zakroczym;MAZOWIECKIE
Myszyniec;MAZOWIECKIE
Ostrów Mazowiecka;MAZOWIECKIE
Brok;MAZOWIECKIE
Józefów;MAZOWIECKIE
Otwock;MAZOWIECKIE
Karczew;MAZOWIECKIE
Góra Kalwaria;MAZOWIECKIE
Konstancin-Jeziorna;MAZOWIECKIE
Piaseczno;MAZOWIECKIE
Tarczyn;MAZOWIECKIE
Drobin;MAZOWIECKIE
G¹bin;MAZOWIECKIE
Wyszogród;MAZOWIECKIE
P³oñsk;MAZOWIECKIE
Raci¹¿;MAZOWIECKIE
Piastów;MAZOWIECKIE
Pruszków;MAZOWIECKIE
Brwinów;MAZOWIECKIE
Przasnysz;MAZOWIECKIE
Chorzele;MAZOWIECKIE
Przysucha;MAZOWIECKIE
Pu³tusk;MAZOWIECKIE
Pionki;MAZOWIECKIE
I³¿a;MAZOWIECKIE
Skaryszew;MAZOWIECKIE
Mordy;MAZOWIECKIE
Sierpc;MAZOWIECKIE
Sochaczew;MAZOWIECKIE
Soko³ów Podlaski;MAZOWIECKIE
Kosów Lacki;MAZOWIECKIE
Szyd³owiec;MAZOWIECKIE
B³onie;MAZOWIECKIE
£omianki;MAZOWIECKIE
O¿arów Mazowiecki;MAZOWIECKIE
Wêgrów;MAZOWIECKIE
£ochów;MAZOWIECKIE
Koby³ka;MAZOWIECKIE
Marki;MAZOWIECKIE
Z¹bki;MAZOWIECKIE
Zielonka;MAZOWIECKIE
Radzymin;MAZOWIECKIE
T³uszcz;MAZOWIECKIE
Wo³omin;MAZOWIECKIE
Wyszków;MAZOWIECKIE
Zwoleñ;MAZOWIECKIE
Bie¿uñ;MAZOWIECKIE
¯uromin;MAZOWIECKIE
¯yrardów;MAZOWIECKIE
Mszczonów;MAZOWIECKIE
Ostro³êka;MAZOWIECKIE
P³ock;MAZOWIECKIE
Radom;MAZOWIECKIE
Siedlce;MAZOWIECKIE
Brzeg;OPOLSKIE
Grodków;OPOLSKIE
Lewin Brzeski;OPOLSKIE
Baborów;OPOLSKIE
G³ubczyce;OPOLSKIE
Kietrz;OPOLSKIE
Kêdzierzyn-KoŸle;OPOLSKIE
Byczyna;OPOLSKIE
Kluczbork;OPOLSKIE
Wo³czyn;OPOLSKIE
Gogolin;OPOLSKIE
Krapkowice;OPOLSKIE
Zdzieszowice;OPOLSKIE
Namys³ów;OPOLSKIE
G³ucho³azy;OPOLSKIE
Korfantów;OPOLSKIE
Nysa;OPOLSKIE
Otmuchów;OPOLSKIE
Paczków;OPOLSKIE
Dobrodzieñ;OPOLSKIE
Gorzów Œl¹ski;OPOLSKIE
Olesno;OPOLSKIE
Praszka;OPOLSKIE
Niemodlin;OPOLSKIE
Ozimek;OPOLSKIE
Prószków;OPOLSKIE
Bia³a;OPOLSKIE
G³ogówek;OPOLSKIE
Prudnik;OPOLSKIE
Kolonowskie;OPOLSKIE
Leœnica;OPOLSKIE
Strzelce Opolskie;OPOLSKIE
Ujazd;OPOLSKIE
Zawadzkie;OPOLSKIE
Opole;OPOLSKIE
Ustrzyki Dolne;PODKARPACKIE
Brzozów;PODKARPACKIE
Dêbica;PODKARPACKIE
Brzostek;PODKARPACKIE
Pilzno;PODKARPACKIE
Jaros³aw;PODKARPACKIE
Radymno;PODKARPACKIE
Pruchnik;PODKARPACKIE
Jas³o;PODKARPACKIE
Ko³aczyce;PODKARPACKIE
Kolbuszowa;PODKARPACKIE
Dukla;PODKARPACKIE
Iwonicz-Zdrój;PODKARPACKIE
Jedlicze;PODKARPACKIE
